overall_rank,position_rank,player_name,team,position,predicted_points,vor_value,adp,bye_week,tier
104,35,RB Player 35,TEAM3,RB,12.5,4.5,64,10,6
105,13,TE Player 13,TEAM13,TE,8.5,4.5,173,16,3
106,34,RB Player 34,TEAM2,RB,12.3,4.3,53,9,6
107,43,WR Player 43,TEAM11,WR,10.1,4.1,122,4,8
108,44,WR Player 44,TEAM12,WR,10.1,4.1,132,5,8
109,17,QB Player 17,TEAM17,QB,16.0,4.0,15,6,4
110,36,RB Player 36,TEAM4,RB,11.9,3.9,65,11,6
111,40,RB Player 40,TEAM8,RB,11.9,3.9,64,15,6
112,18,QB Player 18,TEAM18,QB,15.8,3.8,23,7,4
113,38,RB Player 38,TEAM6,RB,11.7,3.7,62,13,6
114,37,RB Player 37,TEAM5,RB,11.5,3.5,58,12,6
115,47,WR Player 47,TEAM15,WR,9.4,3.4,132,8,9
116,48,WR Player 48,TEAM16,WR,9.4,3.4,135,9,9
117,39,RB Player 39,TEAM7,RB,11.1,3.1,58,14,6
118,45,WR Player 45,TEAM13,WR,9.0,3.0,126,6,9
119,46,WR Player 46,TEAM14,WR,9.0,3.0,133,7,9
120,14,TE Player 14,TEAM14,TE,7.0,3.0,169,17,4
121,19,QB Player 19,TEAM19,QB,14.8,2.8,20,8,4
122,15,TE Player 15,TEAM15,TE,6.6,2.6,170,4,4
123,49,WR Player 49,TEAM17,WR,8.4,2.4,132,10,10
124,53,WR Player 53,TEAM21,WR,8.3,2.3,138,14,10
125,20,QB Player 20,TEAM20,QB,13.9,1.9,19,9,4
126,43,RB Player 43,TEAM11,RB,9.9,1.9,66,4,7
127,51,WR Player 51,TEAM19,WR,7.9,1.9,130,12,10
128,50,WR Player 50,TEAM18,WR,7.7,1.7,137,11,10
129,42,RB Player 42,TEAM10,RB,9.5,1.5,66,17,7
130,16,TE Player 16,TEAM16,TE,5.5,1.5,172,5,4
131,41,RB Player 41,TEAM9,RB,9.4,1.4,69,16,7
132,52,WR Player 52,TEAM20,WR,7.3,1.3,135,13,10
133,54,WR Player 54,TEAM22,WR,7.2,1.2,143,15,10
134,55,WR Player 55,TEAM23,WR,7.2,1.2,140,16,10
135,56,WR Player 56,TEAM24,WR,7.1,1.1,139,17,10
136,45,RB Player 45,TEAM13,RB,8.8,0.8,68,6,7
137,58,WR Player 58,TEAM26,WR,6.7,0.7,145,5,10
138,17,TE Player 17,TEAM17,TE,4.7,0.7,178,6,4
139,21,QB Player 21,TEAM21,QB,12.4,0.4,25,10,4
140,46,RB Player 46,TEAM14,RB,8.4,0.4,73,7,7
141,44,RB Player 44,TEAM12,RB,8.3,0.3,67,5,7
142,57,WR Player 57,TEAM25,WR,6.3,0.3,144,4,10
143,59,WR Player 59,TEAM27,WR,6.0,0.0,139,6,10
144,48,RB Player 48,TEAM16,RB,7.5,-0.5,75,9,8
145,18,TE Player 18,TEAM18,TE,3.5,-0.5,173,7,4
146,60,WR Player 60,TEAM28,WR,5.4,-0.6,149,7,11
147,19,TE Player 19,TEAM19,TE,3.4,-0.6,179,8,4
148,51,RB Player 51,TEAM19,RB,7.3,-0.7,73,12,8
149,61,WR Player 61,TEAM29,WR,5.3,-0.7,145,8,11
150,64,WR Player 64,TEAM32,WR,5.2,-0.8,150,11,11
151,50,RB Player 50,TEAM18,RB,7.1,-0.9,76,11,8
152,22,QB Player 22,TEAM22,QB,11.0,-1.0,19,11,4
153,47,RB Player 47,TEAM15,RB,7.0,-1.0,74,8,8
154,23,QB Player 23,TEAM23,QB,10.7,-1.3,27,12,4
155,62,WR Player 62,TEAM30,WR,4.7,-1.3,146,9,11
156,49,RB Player 49,TEAM17,RB,6.5,-1.5,75,10,8
157,54,RB Player 54,TEAM22,RB,6.2,-1.8,78,15,8
158,55,RB Player 55,TEAM23,RB,6.0,-2.0,81,16,8
159,66,WR Player 66,TEAM2,WR,4.0,-2.0,147,13,12
160,70,WR Player 70,TEAM6,WR,4.0,-2.0,152,17,12
161,63,WR Player 63,TEAM31,WR,3.9,-2.1,148,10,12
162,52,RB Player 52,TEAM20,RB,5.8,-2.2,72,13,8
163,67,WR Player 67,TEAM3,WR,3.8,-2.2,146,14,12
164,53,RB Player 53,TEAM21,RB,5.7,-2.3,74,14,8
165,24,QB Player 24,TEAM24,QB,9.5,-2.5,20,13,4
166,65,WR Player 65,TEAM1,WR,3.5,-2.5,154,12,12
167,57,RB Player 57,TEAM25,RB,5.1,-2.9,81,4,8
168,69,WR Player 69,TEAM5,WR,3.1,-2.9,152,16,12
169,71,WR Player 71,TEAM7,WR,3.0,-3.0,153,4,12
170,20,TE Player 20,TEAM20,TE,1.0,-3.0,179,9,5
171,56,RB Player 56,TEAM24,RB,4.7,-3.3,76,17,8
172,68,WR Player 68,TEAM4,WR,2.7,-3.3,149,15,12
173,58,RB Player 58,TEAM26,RB,4.2,-3.8,85,5,8
174,72,WR Player 72,TEAM8,WR,2.0,-4.0,159,5,13
175,60,RB Player 60,TEAM28,RB,3.7,-4.3,84,7,8
176,59,RB Player 59,TEAM27,RB,3.2,-4.8,79,6,8
