overall_rank,position_rank,player_name,team,position,predicted_points,vor_value,adp,bye_week,tier
91,10,TE Player 10,TEAM10,TE,9.9,5.9,164,13,3
92,40,WR Player 40,TEAM8,WR,11.8,5.8,119,15,6
93,31,RB Player 31,TEAM31,RB,13.7,5.7,57,6,8
94,37,WR Player 37,TEAM5,WR,11.7,5.7,117,12,6
95,35,RB Player 35,TEAM3,RB,13.5,5.5,60,10,8
96,32,RB Player 32,TEAM32,RB,13.4,5.4,53,7,8
97,33,RB Player 33,TEAM1,RB,13.4,5.4,53,8,8
98,34,RB Player 34,TEAM2,RB,13.4,5.4,55,9,8
99,17,QB Player 17,TEAM17,QB,17.3,5.3,20,6,3
100,36,WR Player 36,TEAM4,WR,11.3,5.3,116,11,6
101,42,WR Player 42,TEAM10,WR,11.3,5.3,131,17,6
102,39,WR Player 39,TEAM7,WR,11.2,5.2,126,14,6
103,12,TE Player 12,TEAM12,TE,8.9,4.9,171,15,3
104,38,WR Player 38,TEAM6,WR,10.8,4.8,126,13,6
105,41,WR Player 41,TEAM9,WR,10.8,4.8,125,16,6
106,11,TE Player 11,TEAM11,TE,8.7,4.7,165,14,3
107,36,RB Player 36,TEAM4,RB,12.6,4.6,64,11,9
108,18,QB Player 18,TEAM18,QB,16.1,4.1,19,7,3
109,46,WR Player 46,TEAM14,WR,10.0,4.0,134,7,7
110,43,WR Player 43,TEAM11,WR,9.9,3.9,124,4,7
111,44,WR Player 44,TEAM12,WR,9.8,3.8,130,5,7
112,14,TE Player 14,TEAM14,TE,7.7,3.7,171,17,3
113,38,RB Player 38,TEAM6,RB,11.6,3.6,62,13,10
114,45,WR Player 45,TEAM13,WR,9.5,3.5,125,6,7
115,13,TE Player 13,TEAM13,TE,7.5,3.5,169,16,3
116,37,RB Player 37,TEAM5,RB,11.3,3.3,63,12,10
117,19,QB Player 19,TEAM19,QB,15.2,3.2,21,8,3
118,39,RB Player 39,TEAM7,RB,11.1,3.1,68,14,10
119,47,WR Player 47,TEAM15,WR,9.1,3.1,130,8,7
120,48,WR Player 48,TEAM16,WR,9.1,3.1,133,9,7
121,50,WR Player 50,TEAM18,WR,8.8,2.8,139,11,7
122,49,WR Player 49,TEAM17,WR,8.6,2.6,130,10,7
123,40,RB Player 40,TEAM8,RB,10.4,2.4,63,15,11
124,15,TE Player 15,TEAM15,TE,6.4,2.4,170,4,3
125,41,RB Player 41,TEAM9,RB,10.3,2.3,67,16,11
126,51,WR Player 51,TEAM19,WR,8.3,2.3,131,12,7
127,16,TE Player 16,TEAM16,TE,6.1,2.1,170,5,3
128,52,WR Player 52,TEAM20,WR,7.9,1.9,137,13,7
129,44,RB Player 44,TEAM12,RB,9.8,1.8,63,5,11
130,20,QB Player 20,TEAM20,QB,13.6,1.6,25,9,3
131,42,RB Player 42,TEAM10,RB,9.5,1.5,67,17,11
132,56,WR Player 56,TEAM24,WR,7.5,1.5,144,17,7
133,57,WR Player 57,TEAM25,WR,7.5,1.5,137,4,7
134,53,WR Player 53,TEAM21,WR,7.4,1.4,132,14,7
135,54,WR Player 54,TEAM22,WR,7.1,1.1,143,15,7
136,21,QB Player 21,TEAM21,QB,13.0,1.0,18,10,3
137,43,RB Player 43,TEAM11,RB,9.0,1.0,70,4,11
138,17,TE Player 17,TEAM17,TE,5.0,1.0,174,6,3
139,45,RB Player 45,TEAM13,RB,8.8,0.8,64,6,11
140,55,WR Player 55,TEAM23,WR,6.8,0.8,134,16,7
141,48,RB Player 48,TEAM16,RB,8.3,0.3,68,9,11
142,49,RB Player 49,TEAM17,RB,8.2,0.2,71,10,11
143,46,RB Player 46,TEAM14,RB,8.0,0.0,74,7,11
144,47,RB Player 47,TEAM15,RB,7.9,-0.1,76,8,11
145,59,WR Player 59,TEAM27,WR,5.7,-0.3,140,6,8
146,60,WR Player 60,TEAM28,WR,5.4,-0.6,143,7,8
147,22,QB Player 22,TEAM22,QB,11.3,-0.7,21,11,3
148,61,WR Player 61,TEAM29,WR,5.3,-0.7,140,8,8
149,18,TE Player 18,TEAM18,TE,3.3,-0.7,178,7,4
150,62,WR Player 62,TEAM30,WR,5.2,-0.8,145,9,8
151,50,RB Player 50,TEAM18,RB,7.1,-0.9,75,11,12
152,58,WR Player 58,TEAM26,WR,5.0,-1.0,145,5,8
153,65,WR Player 65,TEAM1,WR,5.0,-1.0,150,12,8
154,23,QB Player 23,TEAM23,QB,10.9,-1.1,23,12,3
155,51,RB Player 51,TEAM19,RB,6.8,-1.2,73,12,12
156,63,WR Player 63,TEAM31,WR,4.8,-1.2,146,10,8
157,20,TE Player 20,TEAM20,TE,2.7,-1.3,181,9,4
158,64,WR Player 64,TEAM32,WR,4.6,-1.4,145,11,8
159,53,RB Player 53,TEAM21,RB,6.4,-1.6,80,14,12
160,19,TE Player 19,TEAM19,TE,2.4,-1.6,175,8,4
161,67,WR Player 67,TEAM3,WR,3.9,-2.1,152,14,9
162,52,RB Player 52,TEAM20,RB,5.7,-2.3,80,13,13
163,69,WR Player 69,TEAM5,WR,3.7,-2.3,150,16,9
164,54,RB Player 54,TEAM22,RB,5.4,-2.6,79,15,13
165,66,WR Player 66,TEAM2,WR,3.4,-2.6,151,13,9
166,68,WR Player 68,TEAM4,WR,3.4,-2.6,155,15,9
167,55,RB Player 55,TEAM23,RB,5.3,-2.7,74,16,13
168,72,WR Player 72,TEAM8,WR,2.9,-3.1,161,5,9
169,24,QB Player 24,TEAM24,QB,8.6,-3.4,25,13,4
170,70,WR Player 70,TEAM6,WR,2.6,-3.4,151,17,9
171,56,RB Player 56,TEAM24,RB,4.4,-3.6,84,17,14
172,57,RB Player 57,TEAM25,RB,4.4,-3.6,78,4,14
173,60,RB Player 60,TEAM28,RB,4.2,-3.8,82,7,14
174,58,RB Player 58,TEAM26,RB,4.1,-3.9,84,5,14
175,71,WR Player 71,TEAM7,WR,2.0,-4.0,152,4,10
176,59,RB Player 59,TEAM27,RB,3.5,-4.5,84,6,14
