overall_rank,position_rank,player_name,team,position,predicted_points,vor_value,adp,bye_week,tier
42,16,WR Player 16,TEAM16,WR,18.3,12.3,97,5,3
43,4,TE Player 4,TEAM4,TE,15.9,11.9,157,7,1
44,11,QB Player 11,TEAM11,QB,23.7,11.7,11,14,1
45,15,WR Player 15,TEAM15,WR,17.7,11.7,99,4,4
46,19,WR Player 19,TEAM19,WR,17.6,11.6,106,8,4
47,17,WR Player 17,TEAM17,WR,17.5,11.5,104,6,4
48,17,RB Player 17,TEAM17,RB,19.4,11.4,45,6,4
49,14,RB Player 14,TEAM14,RB,19.3,11.3,39,17,4
50,15,RB Player 15,TEAM15,RB,19.2,11.2,37,4,4
51,19,RB Player 19,TEAM19,RB,19.1,11.1,46,8,4
52,5,TE Player 5,TEAM5,TE,15.0,11.0,163,8,1
53,18,RB Player 18,TEAM18,RB,18.9,10.9,45,7,4
54,12,QB Player 12,TEAM12,QB,22.8,10.8,10,15,1
55,20,RB Player 20,TEAM20,RB,18.7,10.7,39,9,4
56,20,WR Player 20,TEAM20,WR,16.7,10.7,108,9,5
57,13,QB Player 13,TEAM13,QB,22.6,10.6,17,16,1
58,18,WR Player 18,TEAM18,WR,16.4,10.4,105,7,5
59,23,WR Player 23,TEAM23,WR,16.4,10.4,103,12,5
60,21,WR Player 21,TEAM21,WR,16.2,10.2,103,10,5
61,24,WR Player 24,TEAM24,WR,16.1,10.1,107,13,5
62,21,RB Player 21,TEAM21,RB,18.0,10.0,40,10,5
63,22,WR Player 22,TEAM22,WR,15.9,9.9,106,11,5
64,25,WR Player 25,TEAM25,WR,15.8,9.8,113,14,5
65,23,RB Player 23,TEAM23,RB,17.4,9.4,45,12,5
66,7,TE Player 7,TEAM7,TE,13.4,9.4,160,10,2
67,22,RB Player 22,TEAM22,RB,17.2,9.2,48,11,5
68,27,WR Player 27,TEAM27,WR,15.0,9.0,113,16,6
69,6,TE Player 6,TEAM6,TE,13.0,9.0,166,9,2
70,29,WR Player 29,TEAM29,WR,14.8,8.8,114,4,6
71,14,QB Player 14,TEAM14,QB,20.7,8.7,13,17,2
72,26,WR Player 26,TEAM26,WR,14.6,8.6,115,15,6
73,15,QB Player 15,TEAM15,QB,20.4,8.4,13,4,2
74,28,WR Player 28,TEAM28,WR,14.3,8.3,115,17,6
75,30,WR Player 30,TEAM30,WR,14.2,8.2,118,5,6
76,24,RB Player 24,TEAM24,RB,16.0,8.0,51,13,6
77,25,RB Player 25,TEAM25,RB,15.9,7.9,49,14,6
78,27,RB Player 27,TEAM27,RB,15.7,7.7,55,16,6
79,28,RB Player 28,TEAM28,RB,15.7,7.7,47,17,6
80,31,WR Player 31,TEAM31,WR,13.7,7.7,112,6,6
81,32,WR Player 32,TEAM32,WR,13.7,7.7,119,7,6
82,9,TE Player 9,TEAM9,TE,11.5,7.5,163,12,2
83,26,RB Player 26,TEAM26,RB,15.4,7.4,47,15,6
84,8,TE Player 8,TEAM8,TE,11.3,7.3,161,11,2
85,10,TE Player 10,TEAM10,TE,11.0,7.0,168,13,2
86,29,RB Player 29,TEAM29,RB,14.7,6.7,58,4,7
87,35,WR Player 35,TEAM3,WR,12.7,6.7,119,10,7
88,30,RB Player 30,TEAM30,RB,14.5,6.5,50,5,7
89,34,WR Player 34,TEAM2,WR,12.5,6.5,114,9,7
90,33,WR Player 33,TEAM1,WR,12.2,6.2,120,8,7
91,16,QB Player 16,TEAM16,QB,17.9,5.9,17,5,3
92,32,RB Player 32,TEAM32,RB,13.8,5.8,59,7,8
93,31,RB Player 31,TEAM31,RB,13.7,5.7,53,6,8
94,36,WR Player 36,TEAM4,WR,11.7,5.7,125,11,7
95,33,RB Player 33,TEAM1,RB,13.6,5.6,57,8,8
96,37,WR Player 37,TEAM5,WR,11.5,5.5,119,12,7
97,40,WR Player 40,TEAM8,WR,11.3,5.3,122,15,7
98,38,WR Player 38,TEAM6,WR,11.1,5.1,117,13,7
99,39,WR Player 39,TEAM7,WR,11.0,5.0,118,14,7
100,36,RB Player 36,TEAM4,RB,12.8,4.8,57,11,9
101,43,WR Player 43,TEAM11,WR,10.8,4.8,124,4,7
102,34,RB Player 34,TEAM2,RB,12.6,4.6,58,9,9
103,41,WR Player 41,TEAM9,WR,10.6,4.6,128,16,7
104,17,QB Player 17,TEAM17,QB,16.5,4.5,13,6,3
105,11,TE Player 11,TEAM11,TE,8.5,4.5,167,14,3
106,18,QB Player 18,TEAM18,QB,16.3,4.3,22,7,3
107,35,RB Player 35,TEAM3,RB,12.3,4.3,57,10,9
108,44,WR Player 44,TEAM12,WR,10.0,4.0,123,5,8
109,45,WR Player 45,TEAM13,WR,10.0,4.0,131,6,8
110,48,WR Player 48,TEAM16,WR,9.7,3.7,137,9,8
111,12,TE Player 12,TEAM12,TE,7.7,3.7,170,15,3
112,42,WR Player 42,TEAM10,WR,9.6,3.6,125,17,8
113,38,RB Player 38,TEAM6,RB,11.4,3.4,58,13,10
114,46,WR Player 46,TEAM14,WR,9.4,3.4,133,7,8
115,37,RB Player 37,TEAM5,RB,11.2,3.2,57,12,10
116,47,WR Player 47,TEAM15,WR,9.1,3.1,133,8,8
117,49,WR Player 49,TEAM17,WR,9.1,3.1,132,10,8
118,13,TE Player 13,TEAM13,TE,7.0,3.0,165,16,3
119,14,TE Player 14,TEAM14,TE,7.0,3.0,168,17,3
120,39,RB Player 39,TEAM7,RB,10.8,2.8,68,14,10
121,40,RB Player 40,TEAM8,RB,10.5,2.5,62,15,10
122,51,WR Player 51,TEAM19,WR,8.5,2.5,131,12,9
123,19,QB Player 19,TEAM19,QB,14.3,2.3,15,8,4
124,41,RB Player 41,TEAM9,RB,10.2,2.2,64,16,10
125,44,RB Player 44,TEAM12,RB,10.1,2.1,65,5,10
126,20,QB Player 20,TEAM20,QB,14.0,2.0,24,9,4
127,50,WR Player 50,TEAM18,WR,8.0,2.0,134,11,9
128,42,RB Player 42,TEAM10,RB,9.8,1.8,63,17,10
129,53,WR Player 53,TEAM21,WR,7.4,1.4,132,14,10
130,45,RB Player 45,TEAM13,RB,9.3,1.3,69,6,10
131,54,WR Player 54,TEAM22,WR,7.3,1.3,133,15,10
132,17,TE Player 17,TEAM17,TE,5.1,1.1,177,6,4
133,43,RB Player 43,TEAM11,RB,9.0,1.0,68,4,10
134,52,WR Player 52,TEAM20,WR,7.0,1.0,141,13,10
135,15,TE Player 15,TEAM15,TE,5.0,1.0,176,4,4
136,55,WR Player 55,TEAM23,WR,6.9,0.9,140,16,10
137,16,TE Player 16,TEAM16,TE,4.8,0.8,170,5,4
138,48,RB Player 48,TEAM16,RB,8.4,0.4,72,9,10
139,47,RB Player 47,TEAM15,RB,8.3,0.3,76,8,10
140,56,WR Player 56,TEAM24,WR,6.3,0.3,143,17,11
141,21,QB Player 21,TEAM21,QB,12.2,0.2,21,10,4
142,46,RB Player 46,TEAM14,RB,8.2,0.2,75,7,10
143,57,WR Player 57,TEAM25,WR,6.2,0.2,145,4,11
144,59,WR Player 59,TEAM27,WR,6.2,0.2,142,6,11
145,60,WR Player 60,TEAM28,WR,6.1,0.1,146,7,11
146,18,TE Player 18,TEAM18,TE,4.0,0.0,174,7,4
147,49,RB Player 49,TEAM17,RB,7.5,-0.5,74,10,11
148,53,RB Player 53,TEAM21,RB,7.4,-0.6,78,14,11
149,62,WR Player 62,TEAM30,WR,5.3,-0.7,146,9,12
150,22,QB Player 22,TEAM22,QB,11.1,-0.9,20,11,4
151,23,QB Player 23,TEAM23,QB,11.1,-0.9,18,12,4
152,61,WR Player 61,TEAM29,WR,5.1,-0.9,146,8,12
153,50,RB Player 50,TEAM18,RB,7.0,-1.0,75,11,11
154,51,RB Player 51,TEAM19,RB,6.9,-1.1,77,12,11
155,58,WR Player 58,TEAM26,WR,4.6,-1.4,141,5,12
156,65,WR Player 65,TEAM1,WR,4.6,-1.4,151,12,12
157,19,TE Player 19,TEAM19,TE,2.5,-1.5,171,8,4
158,52,RB Player 52,TEAM20,RB,6.4,-1.6,78,13,11
159,63,WR Player 63,TEAM31,WR,4.3,-1.7,151,10,12
160,67,WR Player 67,TEAM3,WR,4.3,-1.7,153,14,12
161,54,RB Player 54,TEAM22,RB,5.8,-2.2,79,15,11
162,66,WR Player 66,TEAM2,WR,3.8,-2.2,149,13,12
163,68,WR Player 68,TEAM4,WR,3.8,-2.2,150,15,12
164,64,WR Player 64,TEAM32,WR,3.6,-2.4,150,11,12
165,55,RB Player 55,TEAM23,RB,5.5,-2.5,82,16,11
166,70,WR Player 70,TEAM6,WR,3.5,-2.5,152,17,12
167,20,TE Player 20,TEAM20,TE,1.5,-2.5,173,9,4
168,57,RB Player 57,TEAM25,RB,5.3,-2.7,85,4,11
169,24,QB Player 24,TEAM24,QB,9.1,-2.9,25,13,5
170,56,RB Player 56,TEAM24,RB,5.1,-2.9,79,17,11
171,69,WR Player 69,TEAM5,WR,3.1,-2.9,149,16,12
172,72,WR Player 72,TEAM8,WR,2.5,-3.5,157,5,13
173,71,WR Player 71,TEAM7,WR,2.4,-3.6,158,4,13
174,58,RB Player 58,TEAM26,RB,4.1,-3.9,87,5,12
175,59,RB Player 59,TEAM27,RB,4.0,-4.0,81,6,12
176,60,RB Player 60,TEAM28,RB,3.8,-4.2,82,7,12
