overall_rank,position_rank,player_name,team,position,predicted_points,vor_value,adp,bye_week,tier
36,16,WR Player 16,TEAM16,WR,18.7,12.7,97,5,3
37,10,QB Player 10,TEAM10,QB,24.6,12.6,11,13,3
38,13,RB Player 13,TEAM13,RB,20.6,12.6,42,16,2
39,14,RB Player 14,TEAM14,RB,20.6,12.6,33,17,2
40,13,WR Player 13,TEAM13,WR,18.5,12.5,92,16,3
41,3,TE Player 3,TEAM3,TE,16.4,12.4,158,6,1
42,14,WR Player 14,TEAM14,WR,18.3,12.3,99,17,3
43,15,WR Player 15,TEAM15,WR,18.1,12.1,104,4,3
44,11,QB Player 11,TEAM11,QB,23.9,11.9,12,14,3
45,4,TE Player 4,TEAM4,TE,15.9,11.9,165,7,1
46,19,WR Player 19,TEAM19,WR,17.8,11.8,107,8,3
47,16,RB Player 16,TEAM16,RB,19.6,11.6,36,5,3
48,18,WR Player 18,TEAM18,WR,17.5,11.5,106,7,3
49,17,WR Player 17,TEAM17,WR,17.4,11.4,102,6,3
50,15,RB Player 15,TEAM15,RB,18.8,10.8,35,4,4
51,22,WR Player 22,TEAM22,WR,16.8,10.8,111,11,4
52,19,RB Player 19,TEAM19,RB,18.7,10.7,39,8,4
53,20,WR Player 20,TEAM20,WR,16.7,10.7,99,9,4
54,5,TE Player 5,TEAM5,TE,14.7,10.7,157,8,1
55,18,RB Player 18,TEAM18,RB,18.5,10.5,37,7,4
56,20,RB Player 20,TEAM20,RB,18.5,10.5,40,9,4
57,21,WR Player 21,TEAM21,WR,16.3,10.3,108,10,4
58,13,QB Player 13,TEAM13,QB,22.0,10.0,13,16,4
59,12,QB Player 12,TEAM12,QB,21.9,9.9,8,15,4
60,21,RB Player 21,TEAM21,RB,17.8,9.8,42,10,4
61,24,WR Player 24,TEAM24,WR,15.8,9.8,107,13,4
62,6,TE Player 6,TEAM6,TE,13.8,9.8,159,9,1
63,17,RB Player 17,TEAM17,RB,17.5,9.5,45,6,4
64,25,WR Player 25,TEAM25,WR,15.4,9.4,114,14,4
65,23,WR Player 23,TEAM23,WR,15.3,9.3,110,12,4
66,31,WR Player 31,TEAM31,WR,15.1,9.1,116,6,4
67,28,WR Player 28,TEAM28,WR,14.9,8.9,110,17,4
68,7,TE Player 7,TEAM7,TE,12.8,8.8,164,10,1
69,24,RB Player 24,TEAM24,RB,16.7,8.7,44,13,5
70,27,WR Player 27,TEAM27,WR,14.7,8.7,112,16,4
71,23,RB Player 23,TEAM23,RB,16.6,8.6,51,12,5
72,25,RB Player 25,TEAM25,RB,16.5,8.5,54,14,5
73,26,WR Player 26,TEAM26,WR,14.5,8.5,109,15,4
74,22,RB Player 22,TEAM22,RB,16.2,8.2,49,11,5
75,9,TE Player 9,TEAM9,TE,12.2,8.2,162,12,1
76,14,QB Player 14,TEAM14,QB,20.0,8.0,17,17,5
77,26,RB Player 26,TEAM26,RB,16.0,8.0,52,15,5
78,30,WR Player 30,TEAM30,WR,14.0,8.0,119,5,4
79,29,WR Player 29,TEAM29,WR,13.8,7.8,109,4,4
80,8,TE Player 8,TEAM8,TE,11.7,7.7,166,11,1
81,15,QB Player 15,TEAM15,QB,19.6,7.6,18,4,5
82,27,RB Player 27,TEAM27,RB,15.3,7.3,53,16,5
83,33,WR Player 33,TEAM1,WR,13.0,7.0,117,8,5
84,34,WR Player 34,TEAM2,WR,13.0,7.0,121,9,5
85,28,RB Player 28,TEAM28,RB,14.8,6.8,53,17,5
86,32,WR Player 32,TEAM32,WR,12.4,6.4,121,7,6
87,36,WR Player 36,TEAM4,WR,12.4,6.4,120,11,6
88,16,QB Player 16,TEAM16,QB,18.3,6.3,20,5,5
89,29,RB Player 29,TEAM29,RB,14.1,6.1,55,4,5
90,35,WR Player 35,TEAM3,WR,12.1,6.1,121,10,6
91,32,RB Player 32,TEAM32,RB,14.0,6.0,58,7,5
92,10,TE Player 10,TEAM10,TE,9.9,5.9,170,13,2
93,31,RB Player 31,TEAM31,RB,13.8,5.8,51,6,5
94,33,RB Player 33,TEAM1,RB,13.8,5.8,58,8,5
95,37,WR Player 37,TEAM5,WR,11.8,5.8,118,12,6
96,30,RB Player 30,TEAM30,RB,13.7,5.7,52,5,5
97,34,RB Player 34,TEAM2,RB,13.5,5.5,61,9,5
98,38,WR Player 38,TEAM6,WR,11.4,5.4,119,13,6
99,42,WR Player 42,TEAM10,WR,11.3,5.3,122,17,6
100,39,WR Player 39,TEAM7,WR,11.2,5.2,124,14,6
101,17,QB Player 17,TEAM17,QB,17.0,5.0,14,6,5
102,41,WR Player 41,TEAM9,WR,11.0,5.0,125,16,6
103,45,WR Player 45,TEAM13,WR,10.9,4.9,127,6,6
104,40,WR Player 40,TEAM8,WR,10.8,4.8,126,15,6
105,43,WR Player 43,TEAM11,WR,10.6,4.6,125,4,6
106,12,TE Player 12,TEAM12,TE,8.5,4.5,168,15,3
107,11,TE Player 11,TEAM11,TE,8.3,4.3,165,14,3
108,44,WR Player 44,TEAM12,WR,10.1,4.1,126,5,6
109,49,WR Player 49,TEAM17,WR,10.0,4.0,129,10,6
110,38,RB Player 38,TEAM6,RB,11.9,3.9,67,13,6
111,18,QB Player 18,TEAM18,QB,15.8,3.8,13,7,5
112,35,RB Player 35,TEAM3,RB,11.8,3.8,54,10,6
113,13,TE Player 13,TEAM13,TE,7.8,3.8,166,16,3
114,36,RB Player 36,TEAM4,RB,11.7,3.7,58,11,6
115,37,RB Player 37,TEAM5,RB,11.6,3.6,61,12,6
116,48,WR Player 48,TEAM16,WR,9.6,3.6,135,9,6
117,47,WR Player 47,TEAM15,WR,9.3,3.3,133,8,6
118,14,TE Player 14,TEAM14,TE,7.1,3.1,168,17,3
119,41,RB Player 41,TEAM9,RB,11.0,3.0,67,16,6
120,19,QB Player 19,TEAM19,QB,14.8,2.8,24,8,5
121,46,WR Player 46,TEAM14,WR,8.7,2.7,129,7,7
122,50,WR Player 50,TEAM18,WR,8.7,2.7,130,11,7
123,39,RB Player 39,TEAM7,RB,10.6,2.6,68,14,6
124,40,RB Player 40,TEAM8,RB,10.4,2.4,67,15,6
125,42,RB Player 42,TEAM10,RB,10.4,2.4,66,17,6
126,15,TE Player 15,TEAM15,TE,6.2,2.2,175,4,3
127,51,WR Player 51,TEAM19,WR,8.0,2.0,138,12,8
128,52,WR Player 52,TEAM20,WR,7.7,1.7,136,13,8
129,54,WR Player 54,TEAM22,WR,7.6,1.6,136,15,8
130,55,WR Player 55,TEAM23,WR,7.6,1.6,135,16,8
131,20,QB Player 20,TEAM20,QB,13.3,1.3,21,9,5
132,43,RB Player 43,TEAM11,RB,9.2,1.2,64,4,7
133,44,RB Player 44,TEAM12,RB,9.2,1.2,66,5,7
134,53,WR Player 53,TEAM21,WR,7.2,1.2,135,14,8
135,16,TE Player 16,TEAM16,TE,5.1,1.1,170,5,3
136,45,RB Player 45,TEAM13,RB,9.0,1.0,64,6,7
137,21,QB Player 21,TEAM21,QB,12.9,0.9,19,10,5
138,57,WR Player 57,TEAM25,WR,6.7,0.7,144,4,8
139,58,WR Player 58,TEAM26,WR,6.7,0.7,144,5,8
140,56,WR Player 56,TEAM24,WR,6.6,0.6,144,17,8
141,46,RB Player 46,TEAM14,RB,8.0,0.0,67,7,8
142,48,RB Player 48,TEAM16,RB,7.8,-0.2,68,9,8
143,60,WR Player 60,TEAM28,WR,5.8,-0.2,145,7,9
144,22,QB Player 22,TEAM22,QB,11.6,-0.4,27,11,5
145,59,WR Player 59,TEAM27,WR,5.5,-0.5,141,6,9
146,61,WR Player 61,TEAM29,WR,5.4,-0.6,149,8,9
147,17,TE Player 17,TEAM17,TE,3.4,-0.6,171,6,4
148,47,RB Player 47,TEAM15,RB,7.3,-0.7,66,8,8
149,66,WR Player 66,TEAM2,WR,5.3,-0.7,149,13,9
150,62,WR Player 62,TEAM30,WR,5.1,-0.9,141,9,9
151,50,RB Player 50,TEAM18,RB,6.9,-1.1,69,11,8
152,18,TE Player 18,TEAM18,TE,2.9,-1.1,176,7,4
153,49,RB Player 49,TEAM17,RB,6.7,-1.3,70,10,8
154,65,WR Player 65,TEAM1,WR,4.7,-1.3,145,12,9
155,63,WR Player 63,TEAM31,WR,4.6,-1.4,150,10,9
156,19,TE Player 19,TEAM19,TE,2.6,-1.4,180,8,4
157,52,RB Player 52,TEAM20,RB,6.4,-1.6,80,13,8
158,23,QB Player 23,TEAM23,QB,10.2,-1.8,28,12,5
159,51,RB Player 51,TEAM19,RB,6.2,-1.8,77,12,8
160,53,RB Player 53,TEAM21,RB,6.0,-2.0,78,14,8
161,20,TE Player 20,TEAM20,TE,1.8,-2.2,178,9,4
162,54,RB Player 54,TEAM22,RB,5.6,-2.4,74,15,8
163,64,WR Player 64,TEAM32,WR,3.6,-2.4,146,11,10
164,55,RB Player 55,TEAM23,RB,5.5,-2.5,80,16,8
165,24,QB Player 24,TEAM24,QB,9.4,-2.6,21,13,5
166,68,WR Player 68,TEAM4,WR,3.4,-2.6,153,15,10
167,67,WR Player 67,TEAM3,WR,3.3,-2.7,153,14,10
168,56,RB Player 56,TEAM24,RB,5.2,-2.8,84,17,8
169,71,WR Player 71,TEAM7,WR,3.2,-2.8,151,4,10
170,69,WR Player 69,TEAM5,WR,2.7,-3.3,149,16,10
171,70,WR Player 70,TEAM6,WR,2.2,-3.8,154,17,10
172,59,RB Player 59,TEAM27,RB,4.1,-3.9,79,6,9
173,72,WR Player 72,TEAM8,WR,2.1,-3.9,160,5,10
174,57,RB Player 57,TEAM25,RB,3.9,-4.1,83,4,9
175,58,RB Player 58,TEAM26,RB,3.9,-4.1,78,5,9
176,60,RB Player 60,TEAM28,RB,3.0,-5.0,81,7,10
